artist_names,United States,Mexico,Canada
Bad Bunny,527094356,1230389090,3931453
Olivia Rodrigo,1132906921,91768892,126695919
"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",949892895,,108935806
"The Kid LAROI, Justin Bieber",718549570,157179668,131623126
Doja Cat,839016055,53046734,86624506
Harry Styles,655373380,128815730,86109001
"Lil Nas X, Jack Harlow",668543430,75973620,106150956
"Elton John, Dua Lipa, PNAU",430599351,259794825,115138971
"Bruno Mars, Anderson .Paak, Silk Sonic",669359067,39844827,69882180
The Weeknd,540252512,109797591,93101992
"Imagine Dragons, JID, Arcane, League of Legends",517285076,116953496,93548920
"Drake, 21 Savage, Project Pat",639753255,,87733128
Kanye West,591614345,,60631452
"Doja Cat, SZA",470309150,79970232,65139232
"Tainy, Bad Bunny, Julieta Venegas",171404814,427344171,623535
"Drake, Future, Young Thug",510499974,,74467209
"Bad Bunny, Jhay Cortez",246594634,322917606,516352
Juice WRLD,481831343,,35295559
"Drake, Lil Baby",450637792,,62964124
Adele,370341430,49877232,69442529
Ed Sheeran,332676210,31935293,99725742
"Dua Lipa, DaBaby",349847088,43297574,59326418
Morgan Wallen,426682961,,13359221
"THE ANXIETY, WILLOW, Tyler Cole",384333570,,51273732
Lil Nas X,338818254,22007712,61633289
"Nio Garcia, J Balvin, Bad Bunny",73689879,330076623,
"NEIKED, Mae Muller, Polo G",342616245,,52601988
"Baby Keem, Kendrick Lamar",356465496,,36419976
Drake,332301109,,54612314
Glass Animals,329202008,,56900687
"Justin Bieber, Daniel Caesar, Giveon",257356878,46882473,73499154
Taylor Swift,328322729,4827898,39441008
