Month-yyyy,Canada,Mexico,United States
22-Apr,237.7103437,379.08662,231.6665595
21-Aug,253.4892946,371.69711,252.9988616
21-Dec,465.598519,481.74594,446.402941
22-Feb,243.7355252,389.34876,226.2791722
22-Jan,257.4402388,388.574462,243.7171155
21-Jul,317.1456415,487.07334,316.9392565
22-Jun,295.7793833,446.84017,330.0643488
22-Mar,282.3104804,488.90273,273.1665781
22-May,233.4315888,367.09631,247.0800383
21-Nov,280.6557735,378.76428,271.9453712
21-Oct,266.1626876,380.8926,262.4734976
21-Sep,309.1185255,465.40832,309.7835011
